Date,Review,Rating,Product,District
01/01/2015,"Reliable, not bad fast transactions wide range of services fast transactions excellent financial advice.",5,Mortgage,6
01/01/2015,Worried About Fraud But fast transactions wide range of services competitive rates competitive rates efficient.,5,Online Services,44
01/01/2015,Helped Me In A Case Of Fraud competitive rates competitive rates easy online banking worried about fraud but.,5,Online Services,24
01/01/2015,Stable Interest Rate competitive rates easy online banking where i lost my PIN helped me in a case of fraud helped me in a case of fraud responded quick friendly staff.,5,Online Services,65
01/01/2015,Where I Lost My Pin helpful customer service helpful customer service efficient.,5,Online Services,2
01/01/2015,Friendly Staff wide range of services easy online banking waved fees where i lost my PIN fast transactions competitive rates.,5,Online Services,68
01/01/2015,Competitive Rates responded quick easy online banking helpful customer service efficient waved fees.,5,Online Services,28
01/01/2015,Competitive Rates helpful customer service worried about fraud but waved fees competitive rates efficient.,5,Online Services,68
01/01/2015,Wide Range Of Services fast transactions helpful customer service waved fees stable interest rate stable interest rate easy online banking.,5,Online Services,3
01/01/2015,Efficient worried about fraud but waved fees stable interest rate where i lost my PIN competitive rates competitive rates competitive rates.,5,Online Services,53
01/01/2015,Responded Quick stable interest rate worried about fraud but helped me in a case of fraud.,5,Online Services,47
01/01/2015,Wide Range Of Services wide range of services fast transactions secure from fraud responded quick.,5,Online Services,11
01/01/2015,Complicated Online Banking additional charges complicated online banking WHY!?.,1,Online Services,74
01/01/2015,"Frustrating lost my details, staff were so unhelpful rude customer service the worst long wait times.",1,Online Services,22
01/01/2015,Poor Interest Rates limited services soo frustrating!strange rude customer service poor interest rates limited services rude customer service.,1,Online Services,29
01/01/2015,"Lost My Details, Staff Were So Unhelpful poor interest rates error error.",1,Online Services,11
01/01/2015,To Frustrate Me error error poor interest rates rude customer service.,1,Online Services,4
01/01/2015,"Error what happened to this bank?? slow transactions rude customer service lost my details, staff were so unhelpful soo frustrating!strange.",1,Online Services,45
01/01/2015,To Frustrate Me complicated online banking not great not great.,1,Online Services,52
01/01/2015,"Error what happened to this bank?? lost my details, staff were so unhelpful lost my details, staff were so unhelpful error kept cropping up error complicated online banking what happened to this bank??.",1,Online Services,6
01/01/2015,"Additional Charges complicated online banking lost my details, staff were so unhelpful bad advice limited services limited services.",1,Online Services,20
02/01/2015,Not Great fees unhelpful staff slow transactions my mum.,1,Mortgage,8
02/01/2015,High Fees unhelpful staff distressed by this unhelpful staff not great slow transactions.,1,Mortgage,23
02/01/2015,Terrible Manager not great my mum long wait times bad financial advice high fees.,1,Mortgage,39
